Vertex_ID, X, Y, Z
0, -4.000000, 0.000000, 0.000000
1, -3.763093, 8.134816, -0.096626
2, -4.457430, 6.506557, -0.115864
3, -4.603154, 0.071699, -0.122654
4, 1.937069, 7.389800, 0.054958
5, 2.068322, 12.573054, 0.060795
6, -2.532062, 12.238682, -0.061970
7, -2.867758, 13.751239, -0.070236
8, -3.540272, 13.999012, -0.088051
9, -3.964872, 13.192215, -0.099731
10, -4.501350, 13.079400, -0.114082
11, -4.838456, 13.254204, -0.122990
12, -4.728657, 14.413013, -0.119537
13, -5.063663, 14.306999, -0.128517
14, -5.448956, 12.729853, -0.139500
15, -5.981223, 13.698954, -0.153244
16, -6.502616, 15.773884, -0.166206
17, -4.623232, 15.703714, -0.116146
18, -4.514750, 16.914629, -0.112705
19, -4.635480, 17.915169, -0.115471
20, -5.159797, 18.425068, -0.129219
21, -6.533943, 17.653757, -0.166191
22, -6.698764, 19.709469, -0.169651
23, -6.690544, 22.234035, -0.168293
24, -6.671548, 31.832157, -0.163456
25, -6.021637, 32.925354, -0.145641
26, 1.497400, 32.639626, 0.054630
27, 6.794974, 32.805904, 0.195896
28, 14.821081, 32.916275, 0.409863
29, 15.069303, 12.254396, 0.407158
30, 4.234191, 12.327284, 0.118408
31, 3.933340, 11.883849, 0.110191
32, 3.715950, 7.940898, 0.102619
33, 4.619329, 7.802708, 0.126637
34, 4.739303, 11.303786, 0.131409
35, 4.913084, 11.695613, 0.136215
36, 12.928324, 11.058688, 0.349556
37, 13.373110, 10.450130, 0.361137
38, 13.396965, 6.022450, 0.359779
39, 13.625280, -11.567840, 0.357929
40, 13.247431, -19.528406, 0.344265
41, 13.050984, -20.004929, 0.338810
42, 11.248840, -19.953796, 0.290802
43, 10.322388, -19.861330, 0.266151
44, 10.406949, -18.833118, 0.268867
45, 9.065469, -18.631226, 0.233204
46, 6.955845, -18.630049, 0.176979
47, 6.530103, -19.389843, 0.165291
48, 5.788585, -19.664066, 0.145405
49, 5.018252, -19.648495, 0.124878
50, 5.133243, -18.954849, 0.128258
51, 4.433588, -18.678768, 0.109734
52, 4.000110, -18.845524, 0.098106
53, 3.950377, -20.484720, 0.096039
54, 13.291285, -20.539055, 0.344971
55, 13.542897, -23.185268, 0.350483
56, 13.228264, -27.461863, 0.340168
57, 12.953053, -29.393898, 0.331959
58, 13.521404, -29.540115, 0.347042
59, 13.589912, -35.204651, 0.346313
60, 5.883560, -34.983315, 0.141022
61, 5.823971, -35.280029, 0.139299
62, 6.859323, -35.389420, 0.166845
63, 7.098648, -36.446514, 0.172747
64, 8.551419, -35.866394, 0.211727
65, 13.431564, -36.105000, 0.341686
66, 13.715603, -36.034214, 0.349287
67, 12.746553, -44.484344, 0.319651
68, 7.427649, -44.794426, 0.177752
69, 7.467974, -45.271374, 0.178610
70, 8.291242, -45.161789, 0.200600
71, 13.596851, -45.213326, 0.341982
72, 13.553207, -48.326069, 0.339415
73, 12.847477, -48.835152, 0.320374
74, 12.228936, -49.782608, 0.303461
75, 12.254652, -50.433449, 0.303854
76, 10.414785, -50.517368, 0.254778
77, 10.596694, -50.046597, 0.259838
78, 8.576411, -49.827831, 0.206093
79, 8.421764, -49.099236, 0.202301
80, 7.503350, -50.266045, 0.177298
81, 7.358283, -51.046078, 0.173080
82, 7.350201, -51.548897, 0.172638
83, 13.029424, -51.213032, 0.324154
84, 12.850339, -51.857121, 0.319088
85, 13.646465, -51.954124, 0.340263
86, 13.648726, -58.593349, 0.337328
87, 13.000613, -58.824284, 0.319950
88, 12.619981, -59.821812, 0.309359
89, 10.459878, -59.746132, 0.251822
90, 9.394857, -58.759506, 0.223883
91, 8.192987, -58.140598, 0.192131
92, 7.115201, -58.224247, 0.163368
93, 5.819604, -58.599358, 0.128668
94, 5.476084, -58.825317, 0.119410
95, 4.271870, -58.045490, 0.087666
96, 3.392694, -57.729389, 0.064375
97, 1.469541, -58.560608, 0.012743
98, -0.663804, -59.166756, -0.044390
99, -4.717069, -58.915134, -0.152304
100, -5.357612, -58.605980, -0.169235
101, -5.697447, -51.653099, -0.175158
102, -4.438476, -50.976776, -0.141298
103, -4.279791, -50.048576, -0.136650
104, -4.962463, -49.139591, -0.154432
105, -5.241601, -48.496223, -0.161581
106, -2.690359, -47.226543, -0.093012
107, 2.188031, -43.604404, 0.038643
108, 2.030156, -33.768852, 0.038870
109, 2.144399, -27.468914, 0.044756
110, 2.085491, -26.800930, 0.043488
111, -0.552739, -26.749153, -0.026802
112, -0.484403, -26.616249, -0.024921
113, -0.297222, -24.437035, -0.018950
114, 1.647884, -24.164587, 0.033014
115, 1.834205, -23.827671, 0.038132
116, -1.201552, -23.928181, -0.042824
117, -2.785932, -23.824398, -0.085005
118, -2.897433, -20.088202, -0.086292
119, -4.493612, -19.859554, -0.128731
120, -4.495665, -18.789082, -0.128302
121, -4.310699, -13.651224, -0.121054
122, -4.431353, -1.645938, -0.118853
123, -4.118751, -0.537913, -0.085769
124, -4.346344, -0.210075, 0.239868
